season,date,tournament,level,classification,classification_evidence,round,surface,home_player,away_player,home_player_id,away_player_id,winner_code,home_set_score,away_set_score,source,match_key
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,McHale C.,Tomova V.,783430,897792,2.0,1.0,2.0,TennisData.app,81b20afc22052c6a53590209
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Sasnovich A.,Andrianjafitrimo T.,114904,789917,1.0,2.0,1.0,TennisData.app,5d3cec59c480862dac6f4cf3
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Stefani L.,Minnen G.,259144,460146,2.0,1.0,2.0,TennisData.app,764827fdb548cd03631222ad
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Stojanovic N.,Voegele S.,146026,934936,1.0,2.0,1.0,TennisData.app,73f1b2ee880e5f2effd3fbcb
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Tauson C.,Gracheva V.,359411,323630,2.0,1.0,2.0,TennisData.app,96fa4e7bd38ff952cf9b971b
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Wang Xiy.,Peterson R.,674631,152735,2.0,1.0,2.0,TennisData.app,3890bcffda891b138b17a1b6
2021,2021-05-04,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Zidansek T.,Martincova T.,688936,412476,1.0,2.0,1.0,TennisData.app,4cbd35580223169fb9061b04
2021,2021-05-05,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Baindl K.,Schmiedlova A. K.,455355,537908,2.0,1.0,2.0,TennisData.app,1ab7bab51d14ff2b888c8178
2021,2021-05-05,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Dodin O.,Bolsova Zadoinov A.,192862,745434,2.0,1.0,2.0,TennisData.app,0407feeb583db9b9a40a007c
2021,2021-05-05,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Minnen G.,Golubic V.,460146,988932,2.0,1.0,2.0,TennisData.app,8bdf57b95a9eb7f8519b37d0
2021,2021-05-05,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Stojanovic N.,Paolini J.,146026,324333,2.0,1.0,2.0,TennisData.app,e9095d13554697172ddd90d6
2021,2021-05-05,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Tan H.,Rus A.,141528,342785,1.0,2.0,0.0,TennisData.app,743804424f3f0b3d2a1383cb
2021,2021-05-06,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Kalinskaya A.,Peterson R.,393113,152735,2.0,1.0,1.0,TennisData.app,3f83d8ea1a87ebe3e9dbd229
2021,2021-05-06,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Tomova V.,Gracheva V.,897792,323630,2.0,0.0,1.0,TennisData.app,720538160d4ede993aaa2608
2021,2021-05-06,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Zidansek T.,Sasnovich A.,688936,114904,2.0,0.0,2.0,TennisData.app,c5c02d7fc60d11bc991ff17f
