tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,_source,_source_file,_source_year,_retrieved_at,_original_row_number,_match_key,_dedup_status,_year_conflict,_stat_integrity_conflicts,_winner_name_normalized,_loser_name_normalized,_tourney_name_normalized,_round_normalized,_surface_normalized
2025-2205,Noumea,Hard,32,C,O,20241230,1,TF58,,,Yusuke Takahashi,R,170,JPN,27.203,530,71,ME82,1,,Adrian Mannarino,L,180,FRA,36.504,70,810,6-3 6-0,3,R32,68,2,1,48,32,23,11,8,1,1,0,4,53,35,17,8,7,7,11,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,2,ecba869d0f28effae13f753098efb6a0,NEW_MATCH,1,,yusuke takahashi,adrian mannarino,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,2,F724,2,,Marton Fucsovics,R,188,HUN,32.893,50,1009,CL84,,,Francisco Cabral,R,191,POR,27.975,1472,2,6-2 6-3,3,R32,65,3,2,46,24,21,14,8,3,3,2,4,55,30,19,10,9,4,8,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,3,456c3744f88c64da996064ed8541c24b,NEW_MATCH,1,,marton fucsovics,francisco cabral,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,3,I0B0,,,Andre Ilagan,L,173,USA,24.12,346,142,D0C1,3,,Jesper de Jong,R,180,NED,24.583,88,673,6-4 7-6(5),3,R32,98,4,0,76,57,42,11,11,5,6,10,3,61,32,25,17,11,0,2,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,4,c2740951b0e996654f452043702b9e57,NEW_MATCH,1,,andre ilagan,jesper de jong,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,4,VA25,4,,Valentin Vacherot,R,193,MON,26.122,27,1611,H0BA,,,Shinji Hazawa,R,175,JPN,25.719,1079,11,6-3 6-4,3,R32,81,11,2,64,43,32,12,10,3,4,2,2,51,36,24,5,9,1,4,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,5,ff11493de5d5d77f5255962891894cbd,NEW_MATCH,1,,valentin vacherot,shinji hazawa,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,5,B0EK,,,Moerani Bouzige,R,180,AUS,25.467,464,95,M0K4,5,,Elmer Moller,R,183,DEN,21.478,120,509,4-6 6-3 6-3,3,R32,123,2,4,88,61,39,13,14,5,9,6,7,103,63,39,17,14,10,16,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,6,d4f4b17b09bb0c1c32d9128bcb257de3,NEW_MATCH,1,,moerani bouzige,elmer moller,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,6,R09X,6,,Jurij Rodionov,L,191,AUT,25.626,170,350,B0NU,,,Blake Bayldon,L,183,AUS,26.064,1613,2,6-4 6-2,3,R32,68,7,2,51,33,27,11,9,1,1,3,2,57,33,22,9,9,2,5,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,7,9f51db0fac1cd838a318dc1b0f408ffd,NEW_MATCH,1,,jurij rodionov,blake bayldon,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,7,BO10,7,,Gijs Brouwer,L,191,NED,28.797,176,326,TA46,,,Bernard Tomic,R,196,AUS,32.192,194,313,6-4 6-1,3,R32,62,7,1,56,47,33,4,9,4,5,3,2,50,26,19,7,8,3,7,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,8,8bb3eaa8cb0497491fd328bf7529f9d3,NEW_MATCH,1,,gijs brouwer,bernard tomic,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,8,LB66,8,,Constant Lestienne,R,180,FRA,32.605,188,307,DC38,,,Jake Delaney,R,185,AUS,27.63,469,93,6-3 6-3,3,R32,76,3,1,65,41,28,11,9,5,7,4,3,51,28,15,11,9,3,8,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,9,fef2bafc9be311ac0f5021d5131e32d9,NEW_MATCH,1,,constant lestienne,jake delaney,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,9,C0LM,,,Charlie Camus,L,175,FRA,18.207,1036,13,O09T,,,Kosuke Ogura,R,170,JPN,28.89,736,35,6-2 6-1,3,R32,59,4,0,40,23,17,6,7,1,3,4,3,55,31,13,6,8,4,11,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,10,7a00d147039886ab5e1ff23a8fbf234e,NEW_MATCH,1,,charlie camus,kosuke ogura,noumea,r32,hard
2025-2205,Noumea,Hard,32,C,O,20241230,10,CG94,,,Enzo Couacaud,R,183,FRA,29.834,206,277,P0ED,,,Kiranpal Pannu,R,185,NZL,27.978,491,80,4-6 6-4 6-1,3,R32,127,20,4,85,48,38,17,13,7,9,6,3,89,53,33,17,14,6,11,TennisMyLife,2025_challenger.csv,2025,2026-08-23T06:37:21.010456+00:00,11,d66dfcde08a96c704e655762c3e84065,NEW_MATCH,1,,enzo couacaud,kiranpal pannu,noumea,r32,hard
