y,d,e,r,s,h,a,w,hs,as,tt
2021,20210709,16,6,0,152735,261026,2,0,2,4
2021,20210710,16,3,0,261026,457861,2,0,2,4
2021,20210726,18,4,0,200769,961892,2,1,2,4
2021,20210726,18,4,0,673787,734243,1,2,0,4
2021,20210726,18,4,0,604556,193166,1,2,0,4
2021,20210726,17,1,0,964933,126579,1,2,1,4
2021,20210726,17,1,0,537908,591336,1,2,0,4
2021,20210726,18,4,0,169851,605419,2,0,2,4
2021,20210726,17,1,0,261026,670831,2,0,2,4
2021,20210726,17,1,0,123538,411769,1,2,1,4
2021,20210726,43,1,0,791769,673298,2,0,2,4
2021,20210726,17,1,0,323630,515487,1,2,0,4
2021,20210726,43,1,0,981312,161617,2,1,2,4
2021,20210726,43,1,0,322624,530750,1,2,0,4
2021,20210726,43,1,0,625444,990897,1,2,0,4
2021,20210726,43,1,0,201748,280059,2,0,2,4
2021,20210726,43,1,0,675084,155404,1,2,0,4
2021,20210726,43,1,0,913730,987395,2,0,2,4
2021,20210727,17,1,0,368334,403135,1,2,0,4
2021,20210727,17,1,0,126226,612621,1,2,0,4
2021,20210727,17,1,0,534672,897792,1,2,0,4
2021,20210727,17,1,0,272547,492180,2,1,2,4
2021,20210727,17,1,0,357952,416641,1,2,1,4
2021,20210727,17,1,0,885728,506008,1,2,0,4
2021,20210727,17,1,0,673787,453564,1,2,0,4
2021,20210727,17,1,0,605419,961892,1,2,0,4
2021,20210727,17,1,0,710939,526053,1,2,0,4
2021,20210727,43,1,0,622836,331161,2,0,2,4
2021,20210727,43,1,0,400866,958557,2,0,2,4
2021,20210727,43,1,0,232439,137412,2,0,2,4
2021,20210727,17,1,0,925504,342785,2,0,2,4
2021,20210727,17,1,0,923407,604556,1,2,1,4
2021,20210727,43,1,0,699242,555385,1,1,0,4
2021,20210727,43,1,0,804248,692146,1,2,0,4
2021,20210727,43,1,0,646421,357328,1,2,0,4
2021,20210727,43,1,0,936231,925025,2,0,2,4
2021,20210727,43,1,0,653254,540114,2,0,2,4
2021,20210727,43,1,0,693081,712759,1,2,0,4
2021,20210728,17,2,0,123538,885728,1,2,1,4
2021,20210728,17,2,0,323630,368334,2,0,2,4
2021,20210728,17,2,0,126226,670831,1,2,0,4
2021,20210728,17,2,0,537908,534672,1,2,1,4
2021,20210728,17,2,0,710939,605419,2,0,2,4
2021,20210728,17,2,0,357952,964933,1,2,0,4
2021,20210728,17,2,0,673787,492180,2,0,2,4
2021,20210728,17,2,0,923407,342785,2,0,2,4
2021,20210728,43,2,0,625444,804248,2,0,2,4
2021,20210728,43,2,0,161617,699242,1,2,1,4
2021,20210728,43,2,0,675084,331161,2,0,2,4
2021,20210728,43,2,0,987395,322624,2,0,2,4
2021,20210728,43,2,0,540114,673298,2,1,2,4
2021,20210728,43,2,0,280059,958557,2,0,2,4
2021,20210729,17,5,0,126226,537908,2,1,2,4
2021,20210729,17,5,0,368334,123538,2,1,2,4
2021,20210729,43,2,0,646421,693081,2,0,2,4
2021,20210729,43,2,0,137412,925025,2,0,2,4
2021,20210729,17,5,0,605419,492180,2,0,2,4
2021,20210729,17,5,0,357952,342785,2,0,2,4
2021,20210730,43,5,0,693081,804248,1,2,0,4
2021,20210730,43,5,0,673298,161617,1,2,0,4
2021,20210730,17,6,0,537908,123538,1,2,0,4
2021,20210730,43,5,0,925025,331161,2,0,2,4
2021,20210730,43,5,0,322624,958557,2,0,2,4
2021,20210730,17,6,0,492180,342785,2,0,2,4
2021,20210731,43,6,0,958557,331161,1,2,0,4
2021,20210731,17,3,0,537908,342785,1,2,0,4
2021,20210731,43,6,0,673298,693081,1,2,0,4
2021,20210801,52,4,2,622836,531454,1,2,0,4
2021,20210801,43,3,0,673298,958557,2,1,2,4
2021,20210801,52,4,2,880806,155404,1,2,0,4
2021,20210801,52,4,2,434479,712759,1,2,0,4
2021,20210801,52,4,2,557168,791769,1,2,0,4
2021,20210801,52,4,2,919753,812349,2,1,2,4
2021,20210801,52,4,2,320352,133648,2,0,2,4
2021,20210801,52,4,2,470187,161617,2,1,2,4
2021,20210801,52,4,2,693081,625444,2,1,2,4
2021,20210802,52,4,2,880806,557168,1,2,0,4
2021,20210802,52,4,2,434479,622836,1,2,0,4
2021,20210802,52,4,2,812349,133648,1,2,0,4
2021,20210802,52,4,2,625444,161617,2,1,2,4
2021,20210802,51,1,2,460138,841398,1,2,0,4
2021,20210802,51,1,2,329751,460146,2,0,2,4
2021,20210802,51,1,2,783430,480371,2,0,2,4
2021,20210802,51,1,2,434532,692146,2,1,2,4
2021,20210802,51,1,2,547034,418746,2,0,2,4
2021,20210802,51,1,2,646421,653254,2,0,1,4
2021,20210803,51,1,2,446701,880806,1,2,0,4
2021,20210803,51,1,2,675084,362890,2,0,2,4
2021,20210803,51,1,2,232439,673298,1,2,1,4
2021,20210803,51,1,2,540114,331161,1,2,0,4
2021,20210803,51,1,2,434479,812349,1,2,1,4
2021,20210803,51,1,2,580393,663060,1,2,0,4
2021,20210803,51,1,2,405606,625215,2,0,2,4
2021,20210803,51,1,2,913730,958557,2,0,2,4
2021,20210803,51,1,2,673285,161617,1,2,0,4
2021,20210803,51,1,2,988957,625444,1,2,1,4
2021,20210804,51,2,2,460138,653254,2,1,2,4
2021,20210804,51,2,2,480371,232439,1,2,0,4
2021,20210804,51,2,2,434479,460146,1,2,0,4
2021,20210804,51,2,2,692146,625215,2,0,2,4
2021,20210805,51,2,2,988957,418746,1,2,0,4
2021,20210805,51,2,2,673285,958557,1,2,0,4
2021,20210805,51,2,2,446701,540114,2,1,2,4
2021,20210805,51,2,2,580393,362890,2,0,2,4
2021,20210806,51,5,2,480371,653254,2,0,2,4
2021,20210806,51,5,2,988957,625215,1,2,1,4
2021,20210806,51,5,2,673285,434479,1,2,1,4
2021,20210807,51,5,2,362890,540114,1,2,1,4
2021,20210807,51,6,2,653254,988957,2,1,2,4
2021,20210807,51,6,2,362890,673285,1,2,0,4
2021,20210808,51,3,2,362890,988957,1,2,0,4
2021,20210816,46,4,2,113910,446701,2,1,2,4
2021,20210816,46,4,2,615273,425404,1,2,0,4
2021,20210816,46,4,2,165732,713379,1,2,0,4
2021,20210816,46,4,2,601584,805782,2,1,2,4
2021,20210816,45,1,2,737156,759920,1,2,0,4
2021,20210816,45,1,2,561744,393113,2,0,2,4
2021,20210816,45,1,2,141528,441079,2,1,2,4
2021,20210816,45,1,2,323630,254901,1,2,1,4
2021,20210816,45,1,2,791769,619460,2,0,2,4
2021,20210817,45,1,2,987862,989873,1,2,0,4
2021,20210817,45,1,2,805782,359411,2,1,2,4
2021,20210817,45,1,2,653254,359414,2,1,2,4
2021,20210817,45,1,2,446701,580393,2,1,2,4
2021,20210817,45,1,2,455355,615273,1,2,1,4
2021,20210817,45,1,2,819607,858188,2,0,2,4
2021,20210817,45,1,2,165732,443315,1,2,0,4
2021,20210817,45,1,2,245242,192862,2,0,2,4
2021,20210817,45,1,2,289001,268473,1,1,0,4
2021,20210817,45,1,2,534672,460146,1,2,0,4
2021,20210818,45,2,2,393113,737156,2,1,2,4
2021,20210818,45,1,2,457861,324536,2,1,2,4
2021,20210818,45,2,2,323630,580393,2,1,2,4
2021,20210818,45,2,2,192862,619460,2,0,2,4
2021,20210819,45,2,2,455355,165732,2,1,2,4
2021,20210819,45,2,2,359414,441079,1,2,1,4
2021,20210819,45,2,2,858188,289001,1,2,0,4
2021,20210819,45,2,2,359411,987862,1,2,1,4
2021,20210819,45,2,2,534672,324536,1,1,1,4
2021,20210820,45,5,2,359414,619460,2,1,2,4
2021,20210820,45,5,2,580393,359411,2,0,2,4
2021,20210820,45,5,2,737156,165732,1,2,0,4
2021,20210820,45,5,2,858188,534672,1,1,0,4
2021,20210821,45,6,2,619460,359411,2,0,2,4
2021,20210821,45,6,2,858188,737156,1,2,1,4
2021,20210822,45,3,2,858188,359411,2,1,2,4
2021,20210907,91,1,0,615273,480371,1,2,1,4
2021,20210907,91,1,0,710939,425197,1,2,1,4
2021,20210907,91,1,0,152800,115828,1,2,1,4
2021,20210907,91,1,0,362890,265144,1,2,0,4
2021,20210907,91,1,0,729721,291031,1,2,0,4
2021,20210908,91,1,0,243915,357952,2,0,2,4
2021,20210908,91,1,0,939749,381645,1,2,1,4
2021,20210908,91,1,0,896973,425404,2,0,2,4
2021,20210908,91,1,0,418746,534910,1,2,0,4
2021,20210908,91,1,0,108861,529952,2,0,2,4
2021,20210908,91,1,0,610520,537908,1,2,1,4
2021,20210908,91,1,0,293685,411769,2,0,2,4
2021,20210908,91,1,0,646421,866608,2,0,0,4
2021,20210908,91,1,0,123538,506008,1,2,0,4
2021,20210908,91,1,0,289001,885728,2,1,2,4
2021,20210909,91,2,0,362890,610520,2,0,2,4
2021,20210909,91,2,0,418746,357952,2,0,2,4
2021,20210909,91,2,0,615273,411769,1,2,0,4
2021,20210909,91,1,0,913730,350354,2,1,2,4
2021,20210909,91,2,0,710939,425404,2,0,2,4
2021,20210909,91,2,0,729721,866608,1,2,0,4
2021,20210909,91,2,0,350354,123538,2,1,2,4
2021,20210909,91,2,0,885728,152800,1,2,0,4
2021,20210909,91,2,0,939749,529952,1,2,0,4
2021,20210910,91,5,0,615273,610520,1,2,1,4
2021,20210910,91,5,0,425404,357952,2,0,2,4
2021,20210910,91,5,0,729721,123538,1,2,0,4
2021,20210910,91,5,0,885728,939749,1,2,0,4
2021,20210911,91,6,0,357952,615273,1,2,1,4
2021,20210911,91,6,0,885728,729721,2,1,2,4
2021,20210912,91,3,0,729721,357952,1,2,0,4
2021,20210919,50,4,2,886250,803369,2,0,2,4
2021,20210919,50,4,2,791769,812349,2,0,2,4
2021,20210919,50,4,2,663060,936231,2,1,2,4
2021,20210919,50,4,2,529546,964933,2,0,2,4
2021,20210919,50,4,2,861465,255985,1,2,0,4
2021,20210919,50,4,2,237003,334651,2,0,2,4
2021,20210919,50,4,2,131935,625444,2,0,2,4
2021,20210919,50,4,2,252693,242760,1,2,0,4
2021,20210920,50,4,2,812349,803369,2,0,2,4
2021,20210920,50,4,2,936231,964933,1,2,1,4
2021,20210920,50,4,2,861465,334651,1,2,0,4
2021,20210920,50,4,2,252693,625444,2,0,2,4
2021,20210920,49,1,2,331161,232439,1,2,1,4
2021,20210920,49,1,2,446701,988957,2,1,2,4
2021,20210920,49,1,2,245242,688846,1,2,0,4
2021,20210920,49,1,2,673298,987862,2,0,2,4
2021,20210920,49,1,2,766060,457861,2,0,2,4
2021,20210920,49,1,2,540114,421894,2,1,2,4
2021,20210920,49,1,2,675084,805782,2,0,2,4
2021,20210920,49,1,2,619460,434532,1,2,0,4
2021,20210920,49,1,2,434479,841398,1,2,0,4
2021,20210920,49,1,2,653254,803369,1,1,0,4
2021,20210920,49,1,2,861465,703969,1,2,0,4
2021,20210920,49,1,2,161617,600494,2,1,2,4
2021,20210920,49,1,2,692146,334651,1,2,1,4
2021,20210920,49,1,2,973113,625444,2,1,2,4
2021,20210920,49,1,2,982666,783984,2,1,2,4
2021,20210920,49,1,2,646421,936231,2,1,2,4
2021,20210921,49,2,2,245242,988957,1,2,0,4
2021,20210921,49,2,2,619460,805782,1,2,0,4
2021,20210921,49,2,2,331161,421894,1,2,0,4
2021,20210921,49,2,2,987862,457861,2,0,2,4
2021,20210921,49,2,2,625444,783984,2,1,2,4
2021,20210921,49,2,2,434479,600494,2,1,2,4
2021,20210921,49,2,2,692146,861465,1,2,0,4
2021,20210921,49,2,2,653254,936231,1,2,0,4
2021,20210922,49,5,2,692146,457861,2,1,2,4
2021,20210922,49,5,2,331161,783984,2,1,2,4
2021,20210922,49,5,2,653254,600494,2,0,2,4
2021,20210922,49,5,2,619460,245242,2,0,2,4
