player_id,name
334255,Fruhvirtova L.
334651,Jakupovic D.
335315,Kulbiej N.
335705,Mundhe P. A.
335853,Iliev S.
336392,Bosio V.
336549,Vargova N.
337339,Bulbarella M.
337480,Sonmez Z.
337877,Roura Llaverias R.
338139,Ye S.
338426,Saito S.
338875,Rokusek S.
339190,Middendorf J.
339700,Vondrousova M.
341071,Bai Z.
342350,Emana K. A.
342785,Rus A.
344324,Bennemann E.
344482,Siniakova K.
344636,Jeanjean L.
346262,Grabher J.
346273,Suarez M. I.
347598,Guth M.
349378,Papadakis L.
350354,Zavatska K.
351317,Rajeshwaran Revathi M.
352633,Pieri J.
352877,Daavettila S.
354962,Zheng W.
355591,Sorribes Tormo S.
355862,Petkovic A.
355895,Johnson F.
356283,Kubka M.
357159,Hodzic M.
357328,Crawley F.
357952,Trevisan M.
358837,Krejcikova B.
358964,Palicova B.
359411,Tauson C.
359414,Diyas Z.
359905,Hurkacz N.
360863,Toth A. K.
362293,Lopatetska D.
362890,Frech M.
363157,Shi H.
363579,Alvisi E.
364359,Bjork J.
364743,Sizikova Y.
365710,Zuger J.
368334,Pliskova Kr.
369605,Bouzkova M.
369756,Vazquez Valles M.
370844,Kozyreva M.
371248,Ryser V.
376856,Leonard M.
377819,Ma L.
381645,Hobgarski K.
382331,Wickmayer Y.
384199,Todoni A. A.
385300,Couto L.
386473,Arruabarrena L.
387726,Griffiths E.
388459,Jovic I.
388510,Tanguilig C.
388957,Vismane D.
389789,Tomljanovic A.
390282,Navarro M. F.
390891,Lansere S.
391020,Alexander A.
391727,Markus C.
392154,Hozumi E.
392291,Gerald Gonzalez J. G.
393113,Kalinskaya A.
394004,Werner C.
394244,Zacarias M.
394647,Monroy Y.
394732,Timofeeva M.
396570,Marcinkevica D.
397015,Gadecki O.
397623,Kuzmova K.
398327,Martinez Cirez C.
400866,Zhao C.
401183,Oana A. F.
401531,Lincer O.
402130,Vargas M.
403135,Lukas T.
403306,Hercog P.
403954,Yaneva E.
405386,Radwanska U.
405606,Raina A.
405670,Gamiz A.
407822,Peternel Z.
407856,Vig S.
409001,Andreescu B.
409125,Sun X.
409787,Ascencio Jaramillo I.
410890,Preston T.
411769,Mrdeza T.
412476,Martincova T.
413598,Fita Boluda A.
413848,Hanatani N.
413935,Nahimana S.
414418,Schoofs B.
416641,Udvardy P.
416812,Guerrero Alvarez E.
418746,Min G.
420409,Stakusic M.
421236,Yamaguchi M.
421789,Kessler M.
421894,Volynets K.
423074,De Stefano S.
423172,Sawashiro K.
423847,Lopez Martinez C.
424088,Garakani S.
