record_id,year,canonical_match_id,tournament_hist,tournament_pbp_source,tournament_td_source,round,surface,winner,loser,historical_score,pbp_derived_score_gamewise,independent_recheck_score_match,td_source_score,pbp_source_date,td_source_date,date_diff_days,pbp_server1,pbp_server2,fix_type,real_matching_field_multitoken_risk
2014|1135,2014,2014-W-INT-SWE-01A-2014#6,Bastad,CollectorSwedishOpen-WTABastad,Collector Swedish Open,R32,Clay,Chanelle Scheepers,Mariana Duque Marino,6-3 6-4,"[[6, 3], [6, 4]]",True,6-3 6-4,2014-07-14,2014-07-14,0,Chanelle Scheepers,Mariana Duque-Marino,compound_surname,False
2014|678,2014,2014-W-INT-FRA-01A-2014#14,Strasbourg,InternationauxdeStrasbourg-WTAStrasbourg,Internationaux de Strasbourg,R32,Clay,Silvia Soler Espinosa,Stefanie Voegele,6-0 7-6(5),"[[6, 0], [7, 6]]",True,6-0 7-6,2014-05-20,2014-05-20,0,Stefanie Voegele,Silvia Soler-Espinosa,compound_surname,False
2015|1847,2015,2015-W-PM-USA-01A-2015#90,Indian Wells,BNPParibasOpen-WTAIndianWells,BNP Paribas Open,QF,Hard,Simona Halep,Carla Suarez Navarro,5-7 6-1 6-1,"[[5, 7], [6, 1], [6, 1]]",True,5-7 6-1 6-1,2015-03-18,2015-03-18,0,Carla Suarez Navarro,Simona Halep,compound_surname,True
2012|2802,2012,2012-W-SL-USA-01A-2012#96,US Open,WomensUSOpen.html,US Open,R64,Hard,Agnieszka Radwanska,Carla Suarez Navarro,4-6 6-3 6-0,"[[4, 6], [6, 3], [6, 0]]",True,4-6 6-3 6-0,2012-08-30,2012-08-30,0,Agnieszka Radwanska,Carla Suarez Navarro,compound_surname,True
2014|1113,2014,2014-W-INT-ROU-01A-2014#15,Bucharest,BucharestOpen-WTABucharest,Bucharest Open,R32,Clay,Silvia Soler Espinosa,Sesil Karatantcheva,6-2 6-1,"[[6, 2], [6, 1]]",True,6-2 6-1,2014-07-08,2014-07-08,0,Silvia Soler-Espinosa,Sesil Karatantcheva,compound_surname,False
2012|1784,2012,2012-W-PR-CAN-01A-2012#4,Montreal,RogersCup-WTAMontreal.html,Rogers Cup,R64,Hard,Ksenia Pervak,Anna Tatishvili,7-6(6) 7-6(4),"[[7, 6], [7, 6]]",True,7-6 7-6,2012-08-07,2012-08-08,1,Ksenia Pervak,Anna Tatishvili,date_tolerance,False
2013|1656,2013,2013-W-PR-CAN-01A-2013#18,Toronto,RogersCup-WTAToronto,Rogers Cup,R64,Hard,Anastasia Pavlyuchenkova,Carol Zhao,6-1 6-3,"[[6, 1], [6, 3]]",True,6-1 6-3,2013-08-05,2013-08-06,1,Carol Zhao,Anastasia Pavlyuchenkova,date_tolerance,False
2013|910,2013,2013-W-INT-MEX-01A-2013#12,Acapulco,AbiertoMexicanoTelcel-WTAAcapulco,Abierto Mexicano,R32,Clay,Irina Camelia Begu,Ajla Tomljanovic,6-2 3-6 7-5,"[[6, 2], [3, 6], [7, 5]]",True,6-2 3-6 7-5,2013-02-25,2013-02-26,1,Ajla Tomljanovic,Irina-Camelia Begu,date_tolerance,False
2012|2734,2012,2012-W-SL-USA-01A-2012#28,US Open,WomensUSOpen,US Open,R128,Hard,Anastasia Pavlyuchenkova,Daniela Hantuchova,6-4 7-6(1),"[[6, 4], [7, 6]]",True,6-4 7-6,2012-08-27,2012-08-28,1,Daniela Hantuchova,Anastasia Pavlyuchenkova,date_tolerance,False
2013|954,2013,2013-W-INT-MEX-02A-2013#25,Monterrey,MonterreyOpen-WTAMonterrey,Monterrey Open,QF,Hard,Angelique Kerber,Ayumi Morita,6-2 6-1,"[[6, 2], [6, 1]]",True,6-2 6-1,2013-04-05,2013-04-06,1,Angelique Kerber,Ayumi Morita,date_tolerance,False
2014|974,2014,2014-W-INT-MEX-02A-2014#31,Monterrey,MonterreyOpen-WTAMonterrey,Monterrey Open,F,Hard,Ana Ivanovic,Jovana Jaksic,6-2 6-1,"[[6, 2], [6, 1]]",True,6-2 6-1,2014-04-07,2014-04-06,1,Ana Ivanovic,Jovana Jaksic,date_tolerance,False
2013|450,2013,2013-W-INT-CAN-01A-2013#9,Quebec City,BellChallenge-WTAQuebecCity,Bell Challenge,R32,Hard,Lauren Davis,Camila Giorgi,6-7(5) 6-3 6-2,"[[6, 7], [6, 3], [6, 2]]",True,6-7 6-3 6-2,2013-09-10,2013-09-11,1,Camila Giorgi,Lauren Davis,date_tolerance,False
2012|1810,2012,2012-W-PR-CAN-01A-2012#30,Montreal,RogersCup-WTAMontreal.html,Rogers Cup,R32,Hard,Na Li,Eugenie Bouchard,6-4 6-4,"[[6, 4], [6, 4]]",True,6-4 6-4,2012-08-09,2012-08-10,1,Eugenie Bouchard,Na Li,date_tolerance,False
2012|1762,2012,2012-W-PR-BEL-01A-2012#11,Brussels,BrusselsOpen-WTABrussels,Brussels Open,R32,Clay,Dominika Cibulkova,Christina Mchale,7-6(1) 6-1,"[[7, 6], [6, 1]]",True,7-6 6-1,2012-05-22,2012-05-21,1,Dominika Cibulkova,Christina Mchale,date_tolerance,False
2013|934,2013,2013-W-INT-MEX-02A-2013#5,Monterrey,MonterreyOpen-WTAMonterrey,Monterrey Open,R32,Hard,Maria Kirilenko,Ximena Hermoso,7-5 6-1,"[[7, 5], [6, 1]]",True,7-5 6-1,2013-04-02,2013-04-03,1,Maria Kirilenko,Ximena Hermoso,date_tolerance,False
2013|2044,2013,2013-W-PR-USA-01A-2013#47,Charleston,FamilyCircleCup-WTACharleston.html,Family Circle Cup,R16,Clay,Stefanie Voegele,Julia Goerges,3-6 6-1 6-3,"[[3, 6], [6, 1], [6, 3]]",True,3-6 6-1 6-3,2013-04-04,2013-04-05,1,Julia Goerges,Stefanie Voegele,date_tolerance,False
2012|1821,2012,2012-W-PR-CAN-01A-2012#41,Montreal,RogersCup-WTAMontreal,Rogers Cup,QF,Hard,Petra Kvitova,Tamira Paszek,6-3 6-2,"[[6, 3], [6, 2]]",True,6-3 6-2,2012-08-11,2012-08-12,1,Petra Kvitova,Tamira Paszek,date_tolerance,False
2012|1812,2012,2012-W-PR-CAN-01A-2012#32,Montreal,RogersCup-WTAMontreal.html,Rogers Cup,R32,Hard,Agnieszka Radwanska,Mona Barthel,4-6 6-3 7-6(5),"[[4, 6], [6, 3], [7, 6]]",True,4-6 6-3 7-6,2012-08-09,2012-08-10,1,Agnieszka Radwanska,Mona Barthel,date_tolerance,False
2013|1484,2013,2013-W-PM-USA-02A-2013#28,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R128,Hard,Jie Zheng,Yaroslava Shvedova,7-5 6-4,"[[7, 5], [6, 4]]",True,7-5 6-4,2013-03-20,2013-03-21,1,Jie Zheng,Yaroslava Shvedova,tournament_alias+date_tolerance,False
2012|1021,2012,2012-W-INT-MEX-02A-2012#16,Acapulco,AbiertoMexicanoTELCEL-WTAAcapulcoOLD,Abierto Mexicano,R32,Clay,Flavia Pennetta,Arantxa Parra Santonja,6-4 6-2,"[[6, 4], [6, 2]]",True,6-4 6-2,2012-02-28,2012-02-29,1,Arantxa Parra-Santonja,Flavia Pennetta,compound_surname+date_tolerance,False
2015|1943,2015,2015-W-PM-USA-02A-2015#91,Miami,MiamiOpen-WTAMiami,Sony Ericsson Open,QF,Hard,Carla Suarez Navarro,Venus Williams,0-6 6-1 7-5,"[[0, 6], [6, 1], [7, 5]]",True,0-6 6-1 7-5,2015-04-01,2015-04-01,0,Venus Williams,Carla Suarez Navarro,tournament_alias+compound_surname,True
2013|2080,2013,2013-W-PR-USA-03A-2013#1,Cincinnati,Western&amp;SouthernOpen-WTACincinnati,Western & Southern Financial Group Women's Open,R64,Hard,Eugenie Bouchard,Monica Puig,6-3 6-4,"[[6, 3], [6, 4]]",True,6-3 6-4,2013-08-12,2013-08-13,1,Eugenie Bouchard,Monica Puig,tournament_alias+date_tolerance,False
2013|1477,2013,2013-W-PM-USA-02A-2013#21,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R128,Hard,Bethanie Mattek Sands,Monica Puig,6-4 7-5,"[[6, 4], [7, 5]]",True,6-4 7-5,2013-03-20,2013-03-21,1,Bethanie Mattek-Sands,Monica Puig,tournament_alias+date_tolerance,False
2013|1482,2013,2013-W-PM-USA-02A-2013#26,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R128,Hard,Silvia Soler Espinosa,Pauline Parmentier,6-0 6-7(2) 6-2,"[[6, 0], [6, 7], [6, 2]]",True,6-0 6-7 6-2,2013-03-20,2013-03-20,0,Silvia Soler-Espinosa,Pauline Parmentier,tournament_alias+compound_surname,False
