y,d,e,r,s,h,a,w,hs,as,tt
2021,20211116,117,1,0,232364,620466,1,2,0,4
2021,20211116,117,1,0,741705,443511,1,2,0,4
2021,20211116,117,1,0,201697,957435,2,0,2,4
2021,20211116,117,1,0,569469,105318,1,2,1,4
2021,20211116,117,1,0,692146,199960,2,0,2,4
2021,20211117,117,2,0,400866,328017,2,0,2,4
2021,20211117,117,2,0,416641,240894,1,2,0,4
2021,20211117,117,2,0,671871,732387,1,2,0,4
2021,20211117,117,2,0,232364,103288,1,2,0,4
2021,20211118,117,2,0,878209,710939,1,2,0,4
2021,20211118,117,2,0,896973,569469,1,2,0,4
2021,20211118,117,2,0,199960,957435,1,2,1,4
2021,20211119,117,2,0,741705,425197,1,2,0,4
2021,20211119,117,5,0,896973,878209,1,2,0,4
2021,20211119,117,5,0,416641,328017,1,2,0,4
2021,20211119,117,5,0,671871,232364,1,2,0,4
2021,20211119,117,5,0,199960,741705,1,2,0,4
2021,20211120,117,6,0,896973,671871,2,0,2,4
2021,20211120,117,6,0,199960,416641,2,1,2,4
2021,20211121,117,3,0,416641,671871,2,0,2,4
2021,20211205,3,4,2,964933,388957,2,0,2,4
2021,20211205,3,4,2,165732,662324,1,2,0,4
2021,20211205,3,4,2,728537,993200,1,2,0,4
2021,20211205,3,4,2,982013,235584,2,0,2,4
2021,20211205,3,4,2,546701,149526,2,1,1,4
2021,20211205,3,4,2,612621,253469,1,2,0,4
2021,20211205,3,4,2,548584,840627,2,0,2,4
2021,20211205,3,4,2,344636,803486,2,0,2,4
2021,20211206,3,4,2,165732,388957,2,0,2,4
2021,20211206,3,4,2,728537,235584,1,2,0,4
2021,20211206,3,4,2,612621,840627,1,2,0,4
2021,20211206,3,4,2,149526,803486,2,0,2,4
2021,20211206,2,1,2,323630,346262,2,0,2,4
2021,20211206,2,1,2,126226,926087,1,2,0,4
2021,20211206,2,1,2,293685,673787,2,0,2,4
2021,20211206,2,1,2,780083,952597,2,0,2,4
2021,20211207,2,1,2,434479,612621,2,0,2,4
2021,20211207,2,1,2,591336,199960,1,2,0,4
2021,20211207,2,1,2,803486,329751,1,2,0,4
2021,20211207,2,1,2,165732,480371,1,2,0,4
2021,20211207,2,1,2,944663,460146,2,0,2,4
2021,20211207,2,1,2,826019,146026,1,1,1,4
2021,20211207,2,1,2,289001,973113,1,2,1,4
2021,20211207,2,1,2,840627,388957,2,1,2,4
2021,20211208,2,1,2,288191,728537,2,0,2,4
2021,20211208,2,2,2,126226,952597,2,0,2,4
2021,20211208,2,1,2,934936,673285,2,0,2,4
2021,20211208,2,1,2,514019,405606,1,2,0,4
2021,20211208,2,1,2,403306,192862,1,2,0,4
2021,20211208,2,2,2,826019,673787,1,2,1,4
2021,20211208,2,2,2,346262,591336,2,1,2,4
2021,20211209,2,2,2,803486,460146,1,2,0,4
2021,20211209,2,2,2,388957,165732,2,1,2,4
2021,20211209,2,2,2,728537,673285,1,2,0,4
2021,20211209,2,2,2,289001,612621,1,2,1,4
2021,20211209,2,2,2,514019,403306,1,2,0,4
2021,20211210,2,5,2,591336,803486,2,1,2,4
2021,20211210,2,5,2,165732,514019,1,2,0,4
2021,20211210,2,5,2,289001,728537,2,,,4
2021,20211210,2,5,2,826019,952597,2,0,2,4
2021,20211211,2,6,2,165732,728537,1,2,0,4
2021,20211211,2,6,2,803486,952597,2,0,2,4
2021,20211212,99,4,2,344636,984792,1,2,1,4
2021,20211212,99,4,2,973113,711882,1,2,1,4
2021,20211212,99,4,2,426426,194628,1,2,0,4
2021,20211212,2,3,2,165732,952597,1,2,0,4
2021,20211212,99,4,2,779847,979523,1,2,0,4
2021,20211213,98,1,2,126226,973113,2,0,2,4
2021,20211213,98,1,2,913730,235584,1,2,0,4
2021,20211213,98,1,2,152800,480371,2,1,2,4
2021,20211213,98,1,2,434479,288191,2,0,2,4
2021,20211213,98,1,2,405606,464502,2,1,2,4
2021,20211213,98,1,2,344636,514019,2,0,2,4
2021,20211214,98,1,2,293685,323630,2,0,2,4
2021,20211214,98,1,2,460146,779847,1,2,1,4
2021,20211214,98,1,2,826019,426426,1,2,1,4
2021,20211214,98,1,2,897792,934936,2,0,2,4
2021,20211214,98,1,2,735911,403306,2,1,2,4
2021,20211214,98,1,2,388957,146026,2,0,2,4
2021,20211215,98,1,2,967200,964933,2,0,2,4
2021,20211215,98,1,2,673285,728537,1,2,1,4
2021,20211215,98,1,2,952597,673787,2,1,2,4
2021,20211215,98,2,2,973113,464502,2,1,2,4
2021,20211215,98,1,2,165732,819607,2,0,2,4
2021,20211215,98,2,2,514019,288191,2,0,2,4
2021,20211216,98,2,2,673787,403306,1,2,0,4
2021,20211216,98,2,2,913730,819607,2,0,2,4
2021,20211216,98,2,2,826019,964933,1,2,0,4
2021,20211216,98,2,2,673285,146026,1,2,0,4
2021,20211216,98,2,2,460146,934936,1,2,0,4
2021,20211216,98,2,2,480371,323630,2,1,2,4
2021,20211217,98,5,2,673787,288191,2,0,2,4
2021,20211217,98,5,2,826019,819607,2,0,2,4
2021,20211217,98,5,2,673285,464502,1,2,0,4
2021,20211217,98,5,2,460146,323630,2,1,2,4
2021,20211218,98,6,2,288191,323630,1,2,1,4
2021,20211218,98,6,2,673285,819607,2,0,2,4
2021,20211219,98,3,2,288191,819607,2,0,2,4
2021,20211220,171,1,2,569601,289831,2,1,2,4
2021,20211220,171,1,2,612621,470781,1,2,0,4
2021,20211220,171,1,2,776122,334255,2,0,2,4
2021,20211220,171,1,2,824175,191141,2,1,2,4
2021,20211220,171,1,2,532132,260370,2,0,2,4
2021,20211220,171,1,2,631913,876717,2,0,2,4
2021,20211221,171,1,2,214215,987395,2,0,2,4
2021,20211221,171,1,2,103288,400866,1,2,0,4
2021,20211221,171,1,2,435936,620466,1,2,0,4
2021,20211221,171,1,2,712759,288848,1,2,1,4
2021,20211221,171,1,2,224198,221384,2,0,2,4
2021,20211221,171,1,2,579236,699414,2,0,2,4
2021,20211222,171,2,2,103288,289831,1,2,0,4
2021,20211222,171,2,2,612621,260370,1,2,0,4
2021,20211222,171,2,2,115828,876717,2,0,2,4
2021,20211222,171,2,2,435936,908654,1,2,0,4
2021,20211223,171,2,2,712759,510565,2,0,2,4
2021,20211223,171,2,2,826019,987395,1,2,1,4
2021,20211223,171,2,2,334255,191141,1,2,0,4
2021,20211223,171,2,2,221384,699414,2,0,2,4
2021,20211224,171,5,2,876717,334255,1,2,1,4
2021,20211224,171,5,2,103288,435936,2,0,2,4
2021,20211224,171,5,2,612621,510565,2,0,2,4
2021,20211224,171,5,2,826019,699414,1,2,1,4
2021,20211225,171,6,2,435936,510565,2,0,2,4
2021,20211225,171,6,2,826019,876717,1,2,1,4
2021,20211226,171,3,2,826019,510565,2,0,2,4
2022,20220328,112,1,0,866608,939749,2,0,2,4
2022,20220328,112,1,0,814503,537908,2,0,2,4
2022,20220328,112,1,0,192242,272544,2,1,2,4
2022,20220328,112,1,0,313970,909013,2,1,2,4
2022,20220328,112,1,0,897792,121013,2,0,2,4
2022,20220328,112,1,0,416641,710939,1,2,0,4
2022,20220329,112,1,0,346262,149280,2,1,2,4
2022,20220329,112,1,0,896973,323630,2,1,2,4
2022,20220329,112,1,0,441079,342785,2,1,2,4
2022,20220329,112,1,0,192862,126579,1,2,0,4
2022,20220329,112,1,0,826019,357952,2,0,2,4
2022,20220329,112,1,0,989873,688602,1,2,1,4
2022,20220329,112,1,0,510565,293685,2,0,2,4
2022,20220329,112,1,0,288191,975382,1,2,0,4
2022,20220329,112,1,0,729721,126226,1,2,0,4
2022,20220329,112,1,0,289001,655613,1,2,0,4
2022,20220330,112,2,0,416641,939749,1,2,0,4
2022,20220330,112,2,0,989873,272544,1,2,0,4
2022,20220330,112,2,0,909013,357952,2,0,2,4
2022,20220330,112,2,0,293685,342785,1,2,1,4
2022,20220331,112,2,0,192862,323630,1,2,1,4
2022,20220331,112,2,0,729721,121013,1,2,0,4
2022,20220331,112,2,0,288191,537908,2,0,2,4
2022,20220331,112,2,0,289001,149280,2,1,2,4
2022,20220401,112,5,0,729721,537908,1,2,0,4
2022,20220401,112,5,0,416641,293685,2,0,2,4
2022,20220401,112,5,0,149280,192862,2,0,2,4
2022,20220401,112,5,0,989873,357952,1,2,1,4
2022,20220402,112,6,0,293685,192862,1,2,0,4
2022,20220402,112,6,0,989873,729721,2,0,2,4
2022,20220403,112,3,0,729721,293685,1,2,0,4
2022,20220501,162,4,0,676347,203674,2,0,2,4
2022,20220501,162,4,0,926087,194628,2,0,2,4
2022,20220501,162,4,0,514019,426426,2,0,2,4
2022,20220501,162,4,0,461778,312022,1,2,0,4
2022,20220501,162,4,0,392154,712759,1,2,0,4
2022,20220501,162,4,0,191524,689222,2,0,2,4
2022,20220502,162,4,0,548584,392154,2,1,2,4
2022,20220502,162,4,0,194628,203674,1,2,1,4
2022,20220502,162,4,0,328017,426426,1,2,1,4
2022,20220502,162,4,0,461778,689222,1,2,0,4
2022,20220502,161,1,0,537908,293685,2,1,2,4
2022,20220502,161,1,0,673787,684064,2,0,2,4
2022,20220502,161,1,0,630986,789917,1,2,0,4
2022,20220502,161,1,0,141528,126226,2,1,2,4
2022,20220502,161,1,0,653254,331161,1,2,0,4
2022,20220502,161,1,0,393113,675084,2,1,2,4
2022,20220503,161,1,0,252693,729721,2,1,2,4
2022,20220503,161,1,0,192862,557676,2,0,2,4
2022,20220503,161,1,0,692146,646421,1,2,0,4
2022,20220503,161,1,0,328017,568609,1,2,0,4
2022,20220503,161,1,0,192242,489399,1,0,0,4
2022,20220503,161,1,0,362890,344636,1,2,0,4
2022,20220503,161,1,0,671871,392154,1,2,0,4
2022,20220503,161,1,0,461778,615273,2,1,2,4
2022,20220503,161,1,0,973113,194628,1,2,0,4
2022,20220503,161,1,0,529952,737156,2,0,2,4
2022,20220504,161,2,0,293685,684064,2,0,2,4
2022,20220504,161,2,0,653254,630986,1,2,0,4
2022,20220504,161,2,0,675084,126226,2,1,2,4
2022,20220504,161,2,0,557676,729721,1,2,0,4
2022,20220505,161,2,0,692146,328017,1,2,0,4
2022,20220505,161,2,0,973113,737156,2,0,2,4
2022,20220505,161,2,0,192242,615273,2,0,2,4
2022,20220505,161,2,0,362890,671871,1,2,0,4
2022,20220506,161,5,0,692146,737156,1,2,1,4
2022,20220506,161,5,0,653254,615273,2,0,2,4
2022,20220506,161,5,0,362890,684064,1,2,1,4
2022,20220506,161,5,0,126226,557676,1,2,1,4
2022,20220507,161,6,0,615273,692146,2,0,0,4
2022,20220507,161,6,0,126226,362890,1,2,1,4
2022,20220508,161,3,0,692146,126226,1,2,0,4
2022,20220509,136,4,0,961892,926087,2,0,2,4
2022,20220509,136,4,0,103288,365710,1,2,0,4
2022,20220509,136,4,0,434532,426426,2,0,2,4
2022,20220509,136,4,0,350354,833748,2,0,0,4
2022,20220509,135,1,0,149526,684064,2,1,2,4
2022,20220509,135,1,0,191141,944663,1,2,0,4
2022,20220509,135,1,0,362890,826019,1,2,0,4
2022,20220509,135,1,0,243915,789917,1,2,0,4
2022,20220509,135,1,0,945870,568609,1,2,0,4
2022,20220509,135,1,0,192242,288191,2,0,2,4
2022,20220510,135,1,0,393113,426426,1,2,0,4
2022,20220510,135,1,0,658597,692146,2,1,2,4
2022,20220510,135,1,0,975382,651611,1,2,0,4
2022,20220510,91,1,0,934936,510565,2,0,2,4
2022,20220510,91,1,0,141528,610520,2,0,2,4
2022,20220510,91,1,0,897792,675084,2,0,2,4
2022,20220510,135,1,0,323630,833748,1,2,0,4
2022,20220510,135,1,0,926087,987862,2,0,2,4
2022,20220510,135,1,0,647835,365710,2,0,1,4
2022,20220510,91,1,0,252693,394732,1,2,0,4
2022,20220510,91,1,0,896973,743463,2,1,2,4
2022,20220510,91,1,0,289001,861465,2,1,2,4
2022,20220510,135,1,0,973113,103288,1,2,0,4
2022,20220510,135,1,0,813190,737156,2,0,2,4
2022,20220510,91,1,0,455355,729721,2,0,2,4
2022,20220510,135,1,0,783430,334255,2,0,2,4
2022,20220510,91,1,0,328017,403306,1,1,0,4
2022,20220510,91,1,0,460146,414418,1,2,0,4
2022,20220510,91,1,0,416641,685811,1,2,0,4
2022,20220510,135,1,0,646421,671871,2,0,2,4
2022,20220511,91,1,0,819607,293685,1,2,0,4
2022,20220511,135,2,0,243915,737156,2,0,2,4
2022,20220511,91,1,0,814503,425404,2,1,2,4
2022,20220511,91,1,0,913730,824052,2,1,2,4
2022,20220511,135,2,0,945870,334255,1,2,0,4
2022,20220511,91,1,0,631483,909013,2,0,2,4
2022,20220511,135,2,0,362890,671871,1,2,1,4
2022,20220511,91,1,0,939749,557676,2,1,2,4
2022,20220511,91,1,0,688602,534672,2,0,2,4
2022,20220511,135,2,0,288191,684064,1,2,0,4
2022,20220512,135,2,0,987862,692146,2,1,2,4
2022,20220512,91,2,0,328017,729721,2,0,2,4
2022,20220512,91,2,0,675084,610520,2,0,2,4
2022,20220512,91,2,0,416641,824052,1,2,0,4
2022,20220512,91,2,0,861465,743463,2,0,2,4
2022,20220512,135,2,0,323630,191141,1,2,1,4
2022,20220512,91,2,0,460146,252693,2,,,4
2022,20220512,91,2,0,534672,557676,2,1,2,4
2022,20220512,91,2,0,510565,425404,2,1,2,4
2022,20220512,135,2,0,365710,975382,2,0,2,4
