y,d,e,r,s,h,a,w,hs,as,tt
2022,20220813,51,6,2,540114,557676,2,0,2,4
2022,20220813,187,4,2,973113,556756,2,0,2,4
2022,20220813,187,4,2,919753,887867,2,0,2,4
2022,20220813,187,4,2,747397,569469,1,2,1,4
2022,20220813,187,4,2,613515,841398,2,1,2,4
2022,20220813,187,4,2,861465,852825,1,2,0,4
2022,20220814,51,3,2,245242,557676,1,2,1,4
2022,20220814,187,4,2,556756,887867,2,0,2,4
2022,20220814,187,4,2,982666,908654,2,1,2,4
2022,20220814,187,4,2,155404,747397,1,2,1,4
2022,20220814,187,4,2,861465,841398,1,2,0,4
2022,20220815,186,1,2,152735,537908,1,2,0,4
2022,20220815,186,1,2,737156,742413,2,0,2,4
2022,20220815,186,1,2,630986,121013,1,2,1,4
2022,20220815,186,1,2,255338,155404,2,0,2,4
2022,20220815,186,1,2,529952,908654,2,0,2,4
2022,20220815,186,1,2,646421,141528,1,2,1,4
2022,20220815,186,1,2,679599,889635,2,1,2,4
2022,20220815,186,1,2,254901,199960,2,0,2,4
2022,20220816,186,1,2,944663,400866,1,2,0,4
2022,20220816,186,1,2,887867,152800,2,0,2,4
2022,20220816,186,1,2,826019,600494,2,0,2,4
2022,20220816,186,1,2,841398,245242,2,0,2,4
2022,20220816,186,1,2,485516,103288,2,0,2,4
2022,20220816,186,1,2,653254,434532,1,2,0,4
2022,20220817,186,1,2,861465,420409,1,2,0,4
2022,20220817,186,1,2,804248,675084,1,2,1,4
2022,20220817,186,2,2,742413,908654,2,0,2,4
2022,20220817,186,2,2,199960,889635,1,2,1,4
2022,20220817,186,2,2,944663,630986,1,2,0,4
2022,20220818,186,2,2,152735,155404,1,,,4
2022,20220818,186,2,2,653254,245242,1,2,0,4
2022,20220818,186,2,2,646421,600494,1,2,0,4
2022,20220818,186,2,2,103288,804248,2,1,2,4
2022,20220818,186,2,2,861465,152800,2,0,2,4
2022,20220819,186,5,2,908654,944663,1,2,0,4
2022,20220819,186,5,2,152735,646421,1,2,0,4
2022,20220819,186,5,2,199960,152800,2,0,2,4
2022,20220819,186,5,2,653254,804248,2,1,2,4
2022,20220820,186,6,2,152735,152800,2,0,2,4
2022,20220820,186,6,2,804248,908654,2,1,2,4
2022,20220821,186,3,2,908654,152800,1,2,0,4
2022,20220904,13,4,0,951445,111614,2,0,2,4
2022,20220904,13,4,0,405670,779847,2,0,2,4
2022,20220904,13,4,0,159693,233310,2,1,2,4
2022,20220904,13,4,0,425197,475260,1,2,0,4
2022,20220905,12,1,0,111614,780083,1,2,1,4
2022,20220905,12,1,0,233310,149280,1,2,1,4
2022,20220905,12,1,0,613068,913730,2,0,2,4
2022,20220905,12,1,0,779847,425197,2,1,2,4
2022,20220905,12,1,0,328017,112056,1,2,0,4
2022,20220905,12,1,0,405670,951445,1,2,0,4
2022,20220906,12,1,0,615273,811222,2,0,1,4
2022,20220906,12,1,0,141528,576540,2,0,2,4
2022,20220906,12,1,0,455355,989873,2,1,2,4
2022,20220906,12,1,0,334651,115828,2,0,0,4
2022,20220906,12,1,0,461778,537908,2,1,2,4
2022,20220906,12,1,0,191141,923407,1,2,0,4
2022,20220906,12,1,0,647835,346262,2,0,2,4
2022,20220906,12,1,0,416641,240894,1,2,0,4
2022,20220906,12,1,0,957435,441079,2,1,2,4
2022,20220906,12,1,0,265494,121013,2,0,2,4
2022,20220907,12,2,0,576540,425197,1,2,0,4
2022,20220907,12,2,0,405670,913730,2,1,2,4
2022,20220907,12,2,0,233310,989873,1,2,0,4
2022,20220907,12,2,0,328017,111614,2,0,2,4
2022,20220908,12,2,0,346262,191141,1,2,1,4
2022,20220908,12,2,0,811222,115828,2,1,2,4
2022,20220908,12,2,0,416641,537908,1,2,0,4
2022,20220908,12,2,0,441079,121013,2,0,2,4
2022,20220909,12,5,0,576540,233310,1,2,1,4
2022,20220909,12,5,0,111614,913730,1,2,0,4
2022,20220909,12,5,0,115828,121013,1,2,1,4
2022,20220909,12,5,0,416641,346262,2,1,2,4
2022,20220910,26,4,0,957435,252996,1,2,1,4
2022,20220910,26,4,0,548563,265494,1,2,0,4
2022,20220910,26,4,0,723286,745434,2,1,2,4
2022,20220910,26,4,0,142829,981555,1,2,1,4
2022,20220910,26,4,0,240894,543394,2,0,2,4
2022,20220910,26,4,0,904608,403135,1,2,1,4
2022,20220910,26,4,0,831755,811222,2,0,2,4
2022,20220910,26,4,0,149280,425197,1,2,0,4
2022,20220910,12,6,0,346262,115828,1,2,0,4
2022,20220910,12,6,0,111614,576540,1,2,1,4
2022,20220911,26,4,0,543394,904608,1,2,0,4
2022,20220911,26,4,0,957435,548563,2,0,2,4
2022,20220911,26,4,0,149280,811222,1,1,0,4
2022,20220911,26,4,0,142829,745434,2,1,2,4
2022,20220911,12,3,0,346262,111614,1,2,0,4
2022,20220912,25,1,0,548563,610520,2,1,2,4
2022,20220912,25,1,0,152800,615273,2,0,2,4
2022,20220912,25,1,0,897792,222899,1,2,0,4
2022,20220912,25,1,0,951445,441079,2,0,2,4
2022,20220912,25,1,0,543394,416641,2,0,2,4
2022,20220912,25,1,0,425404,461778,1,2,0,4
2022,20220913,25,1,0,989873,455355,2,0,2,4
2022,20220913,25,1,0,104163,729721,2,0,2,4
2022,20220913,25,1,0,957435,745434,2,0,2,4
2022,20220913,25,1,0,328017,707117,2,0,2,4
2022,20220913,25,1,0,681390,149280,2,1,2,4
2022,20220913,25,1,0,115828,111614,1,2,0,4
2022,20220913,25,1,0,600745,330724,2,0,2,4
2022,20220913,25,1,0,121013,303568,2,0,2,4
2022,20220913,25,1,0,779847,346262,2,0,2,4
2022,20220913,25,1,0,710939,142829,1,2,0,4
2022,20220914,25,2,0,149280,610520,1,2,0,4
2022,20220914,25,2,0,897792,416641,2,1,2,4
2022,20220914,25,2,0,425404,441079,2,1,2,4
2022,20220914,25,2,0,615273,303568,1,2,0,4
2022,20220915,25,2,0,455355,745434,1,2,0,4
2022,20220915,25,2,0,330724,115828,2,1,2,4
2022,20220915,25,2,0,346262,729721,2,0,2,4
